"No","選手名","G","GS","2PM-A","PCT","3PM-A","FTM-A","F","OFF","DEF","TOT","AST","STL","BLK","TO","MIN","PTS","PPG","team_name"
"2","奥山 理々嘉","9","6","16-35","54.5%","17-37","6-11","15","8","14","22","6","5","3","8","182:33","89","9.89","ＥＮＥＯＳサンフラワーズ"
"5","藤本 愛瑚","7","0","5-13","100.0%","4-15","1-1","6","1","6","7","5","0","0","6","68:51","23","3.29","ＥＮＥＯＳサンフラワーズ"
"7","林 咲希","8","8","14-23","88.9%","18-39","8-9","8","0","14","14","14","8","0","3","207:43","90","11.25","ＥＮＥＯＳサンフラワーズ"
"10","渡嘉敷 来夢","10","10","80-117","82.1%","6-15","32-39","10","29","78","107","46","7","17","9","265:48","210","21.00","ＥＮＥＯＳサンフラワーズ"
"11","岡本 彩也花","4","2","2-11","100.0%","13-27","3-3","4","1","5","6","7","3","0","4","100:07","46","11.50","ＥＮＥＯＳサンフラワーズ"
"15","モハメド ファティマトゥ早野夏","5","0","1-7","0.0%","0-0","0-2","0","2","6","8","0","1","1","0","18:57","2","0.40","ＥＮＥＯＳサンフラワーズ"
"23","大沼 美琴","","","","","","","","","","","","","","","","","","ＥＮＥＯＳサンフラワーズ"
"24","梅沢 カディシャ樹奈","10","10","63-100","90.5%","2-5","38-42","23","43","51","94","14","8","5","30","274:29","170","17.00","ＥＮＥＯＳサンフラワーズ"
"25","石原 愛子","6","0","3-10","0.0%","4-9","0-2","0","2","6","8","1","0","0","4","55:05","18","3.00","ＥＮＥＯＳサンフラワーズ"
"27","高田 静","","","","","","","","","","","","","","","","","","ＥＮＥＯＳサンフラワーズ"
"29","中村 優花","7","0","10-20","66.7%","0-1","2-3","6","3","13","16","4","0","4","10","59:36","22","3.14","ＥＮＥＯＳサンフラワーズ"
"32","宮崎 早織","10","10","20-34","92.9%","8-22","13-14","18","5","33","38","74","21","1","27","287:17","77","7.70","ＥＮＥＯＳサンフラワーズ"
"33","中田 珠未","10","0","14-29","71.4%","1-3","10-14","11","11","22","33","11","5","10","10","162:53","41","4.10","ＥＮＥＯＳサンフラワーズ"
"52","宮澤 夕貴","8","4","14-23","100.0%","14-31","7-7","7","3","26","29","32","9","2","6","180:56","77","9.62","ＥＮＥＯＳサンフラワーズ"
"59","星 杏璃","10","0","14-29","83.3%","3-10","5-6","16","3","17","20","19","14","4","20","135:45","42","4.20","ＥＮＥＯＳサンフラワーズ"
"2","星田 美歩","6","0","1-1","0.0%","3-9","0-0","1","0","2","2","1","0","0","2","14:08","11","1.83","富士通 レッドウェーブ"
"3","岡田 英里","10","0","6-14","85.7%","7-29","6-7","5","0","15","15","17","2","1","13","121:01","39","3.90","富士通 レッドウェーブ"
"7","王　シン","","","","","","","","","","","","","","","","","","富士通 レッドウェーブ"
"8","内野 智香英","10","10","19-45","65.0%","21-53","13-20","17","18","30","48","10","14","4","12","249:01","114","11.40","富士通 レッドウェーブ"
"10","町田 瑠唯","10","10","20-43","100.0%","8-28","3-3","16","7","39","46","77","14","3","22","301:14","67","6.70","富士通 レッドウェーブ"
"11","篠崎 澪","10","10","50-100","54.5%","15-36","6-11","18","10","25","35","30","16","2","14","303:03","151","15.10","富士通 レッドウェーブ"
"13","谷口 二千華","10","0","12-26","90.0%","15-35","9-10","8","1","9","10","9","9","0","8","151:37","78","7.80","富士通 レッドウェーブ"
"14","田中 真美子","10","4","28-39","58.3%","5-20","7-12","16","15","34","49","7","8","10","7","181:27","78","7.80","富士通 レッドウェーブ"
"16","栗林 未和","","","","","","","","","","","","","","","","","","富士通 レッドウェーブ"
"18","藤本 愛妃","10","0","14-24","100.0%","3-7","5-5","9","3","13","16","1","8","2","5","116:56","42","4.20","富士通 レッドウェーブ"
"25","内尾 聡菜","10","10","15-30","64.3%","13-37","9-14","17","13","33","46","17","16","1","5","306:12","78","7.80","富士通 レッドウェーブ"
"99","オコエ 桃仁花","10","6","26-67","84.2%","21-54","16-19","18","17","42","59","13","11","5","17","255:21","131","13.10","富士通 レッドウェーブ"
"1","小池 遥","10","10","51-124","84.0%","10-27","21-25","10","15","50","65","48","21","3","27","363:58","153","15.30","シャンソン化粧品シャンソンVマジック"
"5","坂田 侑紀奈","","","","","","","","","","","","","","","","","","シャンソン化粧品シャンソンVマジック"
"7","ディヤイ ファトー","10","9","38-81","72.7%","0-0","16-22","27","29","38","67","22","13","13","15","315:10","92","9.20","シャンソン化粧品シャンソンVマジック"
"8","石田 悠月","9","0","3-8","0.0%","1-7","0-0","8","0","7","7","1","3","0","9","79:15","9","1.00","シャンソン化粧品シャンソンVマジック"
"12","知名 祐里","10","0","7-21","100.0%","1-3","6-6","12","2","2","4","8","1","2","11","80:11","23","2.30","シャンソン化粧品シャンソンVマジック"
"13","須田 多恵","10","10","8-31","0.0%","13-39","0-0","17","9","19","28","10","7","1","10","241:17","55","5.50","シャンソン化粧品シャンソンVマジック"
"15","ワシントン 錦","10","1","23-56","40.0%","0-0","6-15","12","9","24","33","0","3","6","9","142:37","52","5.20","シャンソン化粧品シャンソンVマジック"
"17","川端 日菜子","6","0","1-3","0.0%","0-2","0-0","1","3","1","4","1","0","0","2","25:12","2","0.33","シャンソン化粧品シャンソンVマジック"
"20","野口 さくら","10","10","54-126","78.3%","11-33","18-23","28","32","46","78","19","10","1","17","376:01","159","15.90","シャンソン化粧品シャンソンVマジック"
"30","水野 妃奈乃","10","10","17-44","37.5%","32-72","3-8","21","14","45","59","27","14","1","29","376:19","133","13.30","シャンソン化粧品シャンソンVマジック"
"35","石川 愛","","","","","","","","","","","","","","","","","","シャンソン化粧品シャンソンVマジック"
"5","アイメレク モニィーク","9","4","6-16","57.1%","19-49","4-7","13","16","27","43","6","3","1","7","175:20","73","8.11","東京羽田ヴィッキーズ"
"6","星澤 真　","10","0","7-21","60.0%","4-11","6-10","22","13","21","34","4","5","6","8","166:20","32","3.20","東京羽田ヴィッキーズ"
"7","秋元 千那実","10","10","20-50","100.0%","0-0","7-7","16","16","27","43","8","4","1","13","228:39","47","4.70","東京羽田ヴィッキーズ"
"10","軸丸 ひかる","10","0","14-35","85.7%","7-28","12-14","12","7","16","23","12","8","0","11","151:22","61","6.10","東京羽田ヴィッキーズ"
"12","本橋 菜子","10","10","26-61","91.7%","15-43","11-12","10","6","30","36","34","6","1","17","263:43","108","10.80","東京羽田ヴィッキーズ"
"17","田代 桐花","6","0","8-21","88.9%","0-1","8-9","18","8","9","17","3","2","0","5","76:45","24","4.00","東京羽田ヴィッキーズ"
"20","鷹のはし 公歌","2","2","6-18","0.0%","3-15","0-0","3","1","4","5","2","1","0","4","45:32","21","10.50","東京羽田ヴィッキーズ"
"21","尾崎 早弥子","10","2","14-37","75.0%","0-0","15-20","5","7","17","24","8","5","0","12","126:42","43","4.30","東京羽田ヴィッキーズ"
"23","澁谷 咲月","9","0","1-4","0.0%","3-13","0-0","3","0","3","3","2","2","0","3","52:35","11","1.22","東京羽田ヴィッキーズ"
"25","津村 ゆり子","10","2","15-38","55.6%","10-34","10-18","12","3","13","16","14","9","0","9","159:28","70","7.00","東京羽田ヴィッキーズ"
"36","小笠原 美奈","10","10","22-57","75.0%","10-42","18-24","19","14","49","63","19","14","1","22","279:59","92","9.20","東京羽田ヴィッキーズ"
"87","奥田 花","10","10","19-39","61.5%","13-39","8-13","11","19","20","39","32","11","2","21","273:35","85","8.50","東京羽田ヴィッキーズ"
"0","ダラーメ マレム ドイ","5","0","6-10","0.0%","0-0","0-2","4","1","3","4","4","1","0","2","22:22","12","2.40","日立ハイテク クーガーズ"
"1","星 香那恵","10","0","26-46","71.4%","6-17","5-7","5","11","15","26","13","3","5","10","144:11","75","7.50","日立ハイテク クーガーズ"
"2","白鞘 郁里","10","0","10-17","0.0%","8-20","0-2","10","4","17","21","18","11","3","10","156:42","44","4.40","日立ハイテク クーガーズ"
"4","佐藤 ひかる","5","0","2-2","0.0%","1-6","0-0","2","3","7","10","4","0","0","3","30:08","7","1.40","日立ハイテク クーガーズ"
"5","曽我部 奈央","10","10","16-35","82.4%","15-43","14-17","16","10","42","52","46","16","0","22","276:01","91","9.10","日立ハイテク クーガーズ"
"6","蓬田 麻友","6","0","9-15","33.3%","0-0","1-3","1","3","4","7","3","0","0","2","31:29","19","3.17","日立ハイテク クーガーズ"
"8","村山 翠","10","0","9-14","100.0%","8-14","4-4","13","7","15","22","6","4","0","6","121:25","46","4.60","日立ハイテク クーガーズ"
"9","鈴木 知佳","10","10","49-90","83.3%","0-1","25-30","26","18","47","65","19","7","4","14","266:42","123","12.30","日立ハイテク クーガーズ"
"10","関 ななみ","","","","","","","","","","","","","","","","","","日立ハイテク クーガーズ"
"11","谷村 里佳","10","10","65-121","80.5%","9-22","33-41","17","30","76","106","17","6","3","22","323:25","190","19.00","日立ハイテク クーガーズ"
"13","鶴見 彩","10","0","3-21","100.0%","2-11","8-8","4","2","13","15","17","7","0","7","117:06","20","2.00","日立ハイテク クーガーズ"
"17","田中 真琴","5","0","4-8","100.0%","0-2","7-7","2","5","5","10","0","1","1","0","24:47","15","3.00","日立ハイテク クーガーズ"
"18","佐藤 奈々美","10","10","13-28","78.6%","21-54","11-14","9","6","16","22","31","8","0","12","241:59","100","10.00","日立ハイテク クーガーズ"
"19","山口 里奈","","","","","","","","","","","","","","","","","","日立ハイテク クーガーズ"
"27","藤永 真悠子","","","","","","","","","","","","","","","","","","日立ハイテク クーガーズ"
"28","北村 悠貴","10","10","20-46","100.0%","11-40","4-4","7","8","20","28","26","10","4","16","243:43","77","7.70","日立ハイテク クーガーズ"
"1","宮坂 桃菜","10","10","16-49","77.8%","16-54","7-9","28","6","24","30","24","18","0","45","330:03","87","8.70","新潟アルビレックスＢＢラビッツ"
"2","溝部 稚菜","9","0","3-15","83.3%","2-8","5-6","5","4","6","10","1","5","0","12","96:27","17","1.89","新潟アルビレックスＢＢラビッツ"
"5","中山 樹","","","","","","","","","","","","","","","","","","新潟アルビレックスＢＢラビッツ"
"6","二渡 琴音","","","","","","","","","","","","","","","","","","新潟アルビレックスＢＢラビッツ"
"7","北川 直美","","","","","","","","","","","","","","","","","","新潟アルビレックスＢＢラビッツ"
"9","平 典紗","10","7","13-36","100.0%","12-53","4-4","14","10","15","25","26","7","0","16","301:56","66","6.60","新潟アルビレックスＢＢラビッツ"
"10","西垂水 美桜","9","0","5-13","83.3%","4-18","5-6","15","7","12","19","5","9","0","6","127:36","27","3.00","新潟アルビレックスＢＢラビッツ"
"12","金沢 みどり","","","","","","","","","","","","","","","","","","新潟アルビレックスＢＢラビッツ"
"14","津田 史穂莉","10","6","7-29","87.5%","6-27","7-8","20","16","26","42","11","7","2","11","235:10","39","3.90","新潟アルビレックスＢＢラビッツ"
"17","千葉 歩","10","10","35-82","85.7%","16-64","12-14","16","6","14","20","17","19","0","23","348:59","130","13.00","新潟アルビレックスＢＢラビッツ"
"23","ロー ヤシン","10","9","67-142","51.5%","0-4","17-33","21","43","53","96","4","8","13","16","317:18","151","15.10","新潟アルビレックスＢＢラビッツ"
"33","菅原 絵梨奈","8","8","13-34","50.0%","10-48","1-2","29","9","40","49","21","13","2","18","242:31","57","7.12","新潟アルビレックスＢＢラビッツ"
"0","馬瓜 エブリン","10","10","50-98","69.0%","4-11","49-71","30","35","47","82","14","18","9","21","264:31","161","16.10","トヨタ自動車 アンテロープス"
"2","長岡 萌映子","10","8","25-50","59.3%","6-19","16-27","18","29","36","65","16","6","5","21","229:53","84","8.40","トヨタ自動車 アンテロープス"
"6","西澤 瑠乃","6","0","2-5","100.0%","0-3","2-2","3","1","0","1","5","0","0","3","23:15","6","1.00","トヨタ自動車 アンテロープス"
"11","脇 梨奈乃","8","0","4-7","0.0%","1-11","0-0","11","4","11","15","4","1","0","6","48:35","11","1.38","トヨタ自動車 アンテロープス"
"12","三好 南穂","10","9","14-35","100.0%","18-63","8-8","19","3","13","16","11","5","2","11","252:54","90","9.00","トヨタ自動車 アンテロープス"
"14","平下 愛佳","10","1","9-19","75.0%","10-37","3-4","8","1","13","14","8","7","5","8","140:46","51","5.10","トヨタ自動車 アンテロープス"
"15","安間 志織","10","8","21-52","100.0%","12-25","13-13","21","16","23","39","59","24","7","22","248:43","91","9.10","トヨタ自動車 アンテロープス"
"23","山本 麻衣","10","2","9-33","81.8%","8-25","9-11","18","10","17","27","25","4","0","10","143:15","51","5.10","トヨタ自動車 アンテロープス"
"24","栗原 三佳","9","2","4-4","50.0%","9-17","1-2","12","0","11","11","4","1","3","3","75:14","36","4.00","トヨタ自動車 アンテロープス"
"32","永田 萌絵","10","2","16-33","55.6%","2-8","5-9","14","6","17","23","8","2","3","7","132:02","43","4.30","トヨタ自動車 アンテロープス"
"33","馬瓜 ステファニー","10","7","40-58","81.8%","1-10","36-44","24","24","41","65","15","11","10","16","252:09","119","11.90","トヨタ自動車 アンテロープス"
"45","河村 美幸","10","1","24-49","88.0%","0-0","22-25","25","17","27","44","6","3","1","8","188:43","70","7.00","トヨタ自動車 アンテロープス"
"0","飯島 早紀","7","0","17-40","75.0%","7-17","12-16","5","13","13","26","4","11","1","7","137:34","67","9.57","トヨタ紡織 サンシャインラビッツ"
"3","佐坂 樹","","","","","","","","","","","","","","","","","","トヨタ紡織 サンシャインラビッツ"
"5","高橋 華菜","1","0","0-1","0.0%","0-0","0-0","1","0","0","0","0","0","0","3","04:19","0","0.00","トヨタ紡織 サンシャインラビッツ"
"6","大橋 瑠菜","2","0","2-2","0.0%","0-1","0-0","0","1","1","2","0","1","0","0","03:45","4","2.00","トヨタ紡織 サンシャインラビッツ"
"8","東藤 なな子","10","10","36-83","76.5%","14-42","13-17","17","16","49","65","28","11","3","24","313:53","127","12.70","トヨタ紡織 サンシャインラビッツ"
"9","野町 紗希子","10","1","8-28","100.0%","8-29","9-9","22","13","20","33","13","4","0","6","211:21","49","4.90","トヨタ紡織 サンシャインラビッツ"
"12","白 慶花","10","9","18-44","70.8%","0-0","17-24","24","20","28","48","2","2","7","10","179:29","53","5.30","トヨタ紡織 サンシャインラビッツ"
"13","平末 明日香","9","6","28-72","78.9%","7-32","15-19","10","4","24","28","19","3","0","14","212:37","92","10.22","トヨタ紡織 サンシャインラビッツ"
"15","加藤 優希","10","10","34-71","82.4%","8-30","28-34","20","16","47","63","16","5","6","14","306:37","120","12.00","トヨタ紡織 サンシャインラビッツ"
"17","齋藤 麻未","10","4","11-38","91.7%","8-25","22-24","22","14","33","47","37","19","2","25","284:12","68","6.80","トヨタ紡織 サンシャインラビッツ"
"23","加藤 臨","10","10","6-15","0.0%","1-13","0-0","10","3","9","12","13","3","1","7","155:04","15","1.50","トヨタ紡織 サンシャインラビッツ"
"25","坂本 美樹","7","0","2-6","87.5%","3-6","7-8","1","2","9","11","4","3","1","4","58:09","20","2.86","トヨタ紡織 サンシャインラビッツ"
"51","中野 由希","9","0","13-24","66.7%","7-19","10-15","9","4","14","18","4","7","2","9","133:00","57","6.33","トヨタ紡織 サンシャインラビッツ"
"2","佐古 瑠美","4","0","2-3","0.0%","1-5","0-0","2","1","1","2","0","0","0","1","18:25","7","1.75","デンソー アイリス"
"3","園田 奈緒","8","0","5-10","50.0%","0-1","1-2","12","3","8","11","0","0","1","3","40:52","11","1.38","デンソー アイリス"
"6","本川 紗奈生","10","10","27-53","86.7%","11-37","13-15","21","7","29","36","39","17","3","29","254:16","100","10.00","デンソー アイリス"
"7","高橋 未来","4","0","1-5","50.0%","1-4","1-2","4","1","0","1","1","1","0","2","16:21","6","1.50","デンソー アイリス"
"8","高田 真希","10","10","59-101","84.8%","3-13","39-46","16","22","57","79","33","12","12","17","284:43","166","16.60","デンソー アイリス"
"10","渡部 友里奈","9","0","10-23","75.0%","1-7","3-4","11","2","7","9","3","2","0","7","61:25","26","2.89","デンソー アイリス"
"11","笠置 晴菜","10","0","1-6","100.0%","3-11","6-6","14","8","11","19","9","3","0","11","116:08","17","1.70","デンソー アイリス"
"12","赤穂 さくら","10","10","31-57","82.8%","0-3","24-29","18","22","24","46","4","6","2","17","216:08","86","8.60","デンソー アイリス"
"14","石坂 ひなた","4","0","1-1","0.0%","2-5","0-0","2","0","2","2","1","0","0","0","13:21","8","2.00","デンソー アイリス"
"15","稲井 桃子","10","10","12-27","100.0%","7-38","4-4","16","5","33","38","43","7","7","18","258:22","49","4.90","デンソー アイリス"
"17","畠中 春香","10","0","10-23","75.0%","0-13","12-16","16","8","17","25","4","1","9","7","140:27","32","3.20","デンソー アイリス"
"20","近藤 楓","10","0","5-16","66.7%","12-34","2-3","13","3","6","9","3","3","1","7","143:57","48","4.80","デンソー アイリス"
"22","森 ムチャ","5","0","2-7","100.0%","0-0","2-2","4","1","5","6","4","4","1","1","24:58","6","1.20","デンソー アイリス"
"23","篠原 華実","10","0","6-12","50.0%","11-36","1-2","22","5","8","13","9","13","0","3","143:16","46","4.60","デンソー アイリス"
"88","赤穂 ひまわり","10","10","44-63","71.4%","5-20","15-21","16","33","44","77","21","16","10","12","267:21","118","11.80","デンソー アイリス"
"3","永井 唯菜","9","0","5-9","50.0%","2-10","1-2","6","9","11","20","3","2","2","9","79:59","17","1.89","三菱電機 コアラーズ"
"4","根本 葉瑠乃","10","10","12-28","87.5%","27-83","7-8","14","13","48","61","21","12","2","18","329:21","112","11.20","三菱電機 コアラーズ"
"6","櫻木 千華","10","0","9-25","40.0%","6-20","4-10","17","5","26","31","17","13","3","13","160:09","40","4.00","三菱電機 コアラーズ"
"7","篠宮 杏奈","4","0","4-7","100.0%","1-10","5-5","4","4","2","6","0","2","0","2","24:34","16","4.00","三菱電機 コアラーズ"
"8","川井 麻衣","10","10","23-59","61.1%","10-33","11-18","27","7","45","52","55","17","7","21","351:51","87","8.70","三菱電機 コアラーズ"
"9","小菅 由香","10","10","38-73","68.4%","6-15","13-19","15","23","47","70","33","11","11","19","261:09","107","10.70","三菱電機 コアラーズ"
"10","見崎 南美","10","0","7-10","100.0%","2-6","1-1","6","0","6","6","4","3","0","3","65:45","21","2.10","三菱電機 コアラーズ"
"15","西岡 里紗","10","10","44-80","72.2%","0-0","26-36","22","9","29","38","6","2","17","10","202:19","114","11.40","三菱電機 コアラーズ"
"18","佐賀 藍葉","","","","","","","","","","","","","","","","","","三菱電機 コアラーズ"
"39","藤田 和","4","0","1-3","50.0%","0-3","2-4","0","2","1","3","4","2","0","1","20:34","4","1.00","三菱電機 コアラーズ"
"45","渡邉 亜弥","10","10","53-98","86.5%","9-24","32-37","28","6","55","61","49","14","7","35","348:30","165","16.50","三菱電機 コアラーズ"
"51","濱口 京子","10","0","13-33","72.7%","1-11","8-11","16","23","23","46","4","2","8","10","155:49","37","3.70","三菱電機 コアラーズ"
"62","勅使川原 帆南","","","","","","","","","","","","","","","","","","三菱電機 コアラーズ"
"2","渡邉 まりい","10","0","13-31","58.3%","3-10","7-12","15","10","10","20","6","0","1","9","133:57","42","4.20","山梨クィーンビーズ"
"5","富田 愛理","10","10","18-43","60.0%","0-0","6-10","22","23","19","42","2","3","4","10","182:59","42","4.20","山梨クィーンビーズ"
"7","後藤 優","10","0","1-4","100.0%","4-17","2-2","8","0","4","4","2","1","0","5","49:18","16","1.60","山梨クィーンビーズ"
"8","金子 仁美","1","0","0-0","0.0%","0-0","0-0","1","0","0","0","0","0","0","0","00:51","0","0.00","山梨クィーンビーズ"
"9","豊田 有紗","","","","","","","","","","","","","","","","","","山梨クィーンビーズ"
"11","瀬山 楓","10","0","4-22","100.0%","1-2","2-2","10","9","9","18","1","4","0","7","73:56","13","1.30","山梨クィーンビーズ"
"13","若原 愛美","10","10","26-63","65.0%","15-64","13-20","24","15","31","46","24","18","1","27","295:40","110","11.00","山梨クィーンビーズ"
"18","岡 萌乃","10","1","22-65","66.7%","4-15","4-6","26","14","25","39","16","12","3","7","259:36","60","6.00","山梨クィーンビーズ"
"21","近内 瞳","10","0","0-5","0.0%","2-11","0-0","3","2","4","6","2","1","1","4","38:19","6","0.60","山梨クィーンビーズ"
"30","土田 帆乃香","2","0","0-1","0.0%","0-0","0-0","0","0","0","0","0","0","0","0","02:58","0","0.00","山梨クィーンビーズ"
"33","加藤 宇希波","1","0","0-0","0.0%","0-1","0-0","0","0","0","0","0","0","0","0","01:46","0","0.00","山梨クィーンビーズ"
"45","渡邊 愛加","10","9","15-38","100.0%","5-23","10-10","23","6","13","19","12","5","0","9","220:40","55","5.50","山梨クィーンビーズ"
"47","内堀 紫菜","10","10","22-69","72.7%","16-45","8-11","14","7","40","47","38","17","4","25","315:01","100","10.00","山梨クィーンビーズ"
"74","水野 菜穂","10","10","37-88","65.5%","6-39","19-29","14","10","31","41","26","25","0","30","335:51","111","11.10","山梨クィーンビーズ"
"77","山本 由真　","10","0","2-6","100.0%","3-21","2-2","6","2","8","10","6","1","0","9","89:08","15","1.50","山梨クィーンビーズ"
"2","遠藤 桐","1","0","0-0","0.0%","0-1","0-0","0","0","0","0","0","0","0","0","07:03","0","0.00","アイシン・エィ・ダブリュウィングス"
"7","北川 愛理","10","4","4-19","85.7%","4-10","6-7","16","7","15","22","4","0","3","7","149:06","26","2.60","アイシン・エィ・ダブリュウィングス"
"11","近平 奈緒子","10","8","18-40","75.0%","0-1","6-8","19","17","18","35","10","9","6","12","223:01","42","4.20","アイシン・エィ・ダブリュウィングス"
"13","米谷 帆芽","10","3","6-17","62.5%","7-29","10-16","17","9","13","22","3","6","2","8","142:37","43","4.30","アイシン・エィ・ダブリュウィングス"
"14","板谷 日香里","9","1","7-24","40.0%","2-10","4-10","11","3","4","7","2","5","5","5","117:57","24","2.67","アイシン・エィ・ダブリュウィングス"
"18","宮下 希保","10","10","47-108","86.2%","9-24","25-29","26","21","52","73","24","17","1","31","286:48","146","14.60","アイシン・エィ・ダブリュウィングス"
"19","梅木 千夏","10","9","23-69","81.2%","16-44","13-16","25","9","33","42","34","7","1","36","266:49","107","10.70","アイシン・エィ・ダブリュウィングス"
"20","山口 奈々花","4","0","0-2","0.0%","0-0","0-0","1","1","0","1","0","0","0","0","11:14","0","0.00","アイシン・エィ・ダブリュウィングス"
"22","三間 瑠依","6","2","11-19","28.6%","1-4","2-7","3","14","15","29","3","4","1","4","92:02","27","4.50","アイシン・エィ・ダブリュウィングス"
"27","江良 萌香","7","1","2-5","85.7%","2-9","6-7","7","4","6","10","5","3","1","4","63:36","16","2.29","アイシン・エィ・ダブリュウィングス"
"31","高原 春季","10","3","6-13","62.5%","6-34","5-8","10","3","9","12","9","6","4","5","152:05","35","3.50","アイシン・エィ・ダブリュウィングス"
"37","上長 美菜","9","4","19-48","40.0%","11-32","2-5","14","5","35","40","9","7","4","8","212:24","73","8.11","アイシン・エィ・ダブリュウィングス"
"52","加藤 瑠倭","10","4","5-23","80.0%","12-31","4-5","9","8","20","28","4","4","4","7","130:28","50","5.00","アイシン・エィ・ダブリュウィングス"
"55","酒井 彩等","10","1","7-23","100.0%","2-5","7-7","8","7","14","21","16","7","0","11","144:50","27","2.70","アイシン・エィ・ダブリュウィングス"
